,band_gap
0.0285000000000001,1
0.028500000000001,1
0.0285999999999999,2
0.0289999999999999,1
0.0291000000000001,1
0.0293000000000009,1
0.0293999999999998,1
0.0294999999999998,1
0.0294999999999999,1
0.0295,1
0.0295999999999998,1
0.0297999999999999,1
0.0301,2
0.0304999999999999,2
0.0305999999999997,1
0.0306000000000001,1
0.0307000000000003,1
0.0309999999999996,1
0.0310000000000001,1
0.0314999999999994,1
0.0324000000000004,1
0.0328999999999997,1
0.0333999999999998,1
0.0335,2
0.0335999999999998,1
0.0338999999999996,1
0.0341,1
0.0342,1
0.0345999999999993,1
0.0345999999999999,1
0.0346000000000001,1
0.0349999999999992,1
0.0350000000000001,1
0.0350999999999999,1
0.0353999999999996,1
0.0356,1
0.0356000000000005,1
0.0356999999999994,1
0.036,1
0.0360999999999998,1
0.0360999999999999,1
0.0361000000000002,1
0.0362,3
0.0362999999999997,1
0.0364000000000004,1
0.0365999999999999,1
0.0367000000000001,1
0.0370999999999996,1
0.0371999999999999,1
0.0373999999999998,1
0.0375,1
0.0378000000000002,1
0.0379,1
0.0379999999999998,1
0.0381999999999997,2
0.0383,1
0.0383999999999993,1
0.0384999999999999,1
0.0387000000000004,1
0.0388000000000001,1
0.0388999999999999,1
0.0389999999999997,1
0.0389999999999999,1
0.0390000000000001,1
0.0391000000000003,1
0.0391999999999992,1
0.0392999999999998,1
0.0393999999999996,1
0.0396,1
0.0398999999999998,1
0.0399000000000002,1
0.0401000000000002,1
0.0401999999999995,1
0.0402999999999997,1
0.0403000000000002,2
0.0404999999999997,1
0.0405999999999995,1
0.0407000000000001,1
0.0409000000000006,1
0.0412000000000001,1
0.0413999999999994,1
0.0414000000000003,1
0.0415,1
0.0417,1
0.042,1
0.0421,1
0.0423,1
0.0424,1
0.0424000000000002,1
0.0425999999999997,1
0.0426000000000001,1
0.0426999999999999,1
0.0428999999999999,1
0.0430999999999999,1
0.0433000000000003,1
0.0434999999999998,1
0.0436999999999998,1
0.0438,1
0.0442,1
0.0445000000000002,1
0.0447000000000001,1
0.0449999999999999,1
0.0450999999999996,1
0.0452000000000012,1
0.0453999999999998,1
0.0459999999999993,1
0.0461,2
0.0463,1
0.0463999999999997,1
0.0464000000000002,1
0.0465999999999997,1
0.0472,1
0.0472999999999999,1
0.0475000000000003,1
0.0475999999999996,1
0.0476,1
0.0477999999999999,1
0.0478,1
0.0478000000000005,1
0.0479,1
0.0479000000000002,1
0.0487000000000001,2
0.0488999999999997,1
0.0491000000000001,2
0.0492999999999996,1
0.0493,1
0.0496000000000003,2
0.0497999999999998,1
0.0498000000000002,1
0.0499,1
0.0500999999999995,1
0.0501,2
0.0501999999999993,1
0.0503,1
0.0504000000000002,1
0.0506999999999999,1
0.0509999999999992,1
0.0510000000000001,1
0.0510999999999999,1
0.0511999999999996,1
0.0512000000000014,1
0.0517,1
0.0519,1
0.0520999999999998,1
0.0521000000000002,1
0.0522,1
0.0526999999999999,1
0.0527999999999999,2
0.0528000000000004,1
0.0529999999999999,1
0.0531000000000001,1
0.0531000000000005,1
0.0531999999999999,1
0.0533000000000001,1
0.0533999999999998,3
0.0536000000000003,1
0.0541,1
0.0543,2
0.0546000000000002,1
0.0546000000000006,1
0.0546999999999999,1
0.0548999999999999,1
0.0549999999999997,1
0.0549999999999999,1
0.0553000000000003,1
0.0559000000000002,1
0.0562,1
0.0562000000000004,1
0.0562999999999993,1
0.0564,1
0.0566000000000004,1
0.0566999999999997,1
0.0576,1
0.0576999999999996,1
0.0580999999999995,1
0.0584999999999999,1
0.0585999999999993,1
0.0586000000000002,1
0.0586999999999999,1
0.0588999999999999,1
0.0590000000000001,1
0.0595999999999996,1
0.0596999999999994,1
0.0597999999999999,1
0.0598,1
0.0600000000000005,1
0.0600999999999998,1
0.0602999999999998,1
0.0605000000000002,1
0.0605999999999999,1
0.0606999999999997,1
0.0610999999999997,1
0.0612999999999996,1
0.0615000000000001,1
0.0615000000000005,1
0.0615999999999998,1
0.0616000000000003,1
0.0616999999999996,1
0.0617,1
0.0617999999999998,1
0.0622000000000002,1
0.0622999999999995,1
0.0623000000000004,1
0.0623999999999997,1
0.0624000000000002,1
0.0628999999999999,1
0.0630999999999999,1
0.0631000000000003,1
0.0632999999999999,1
0.0634000000000001,1
0.0637999999999996,1
0.064,1
0.0649999999999999,2
0.0652,1
0.0653000000000001,1
0.0653999999999999,1
0.0654999999999996,1
0.0656000000000007,1
0.066,1
0.0664000000000006,1
0.0669000000000004,1
0.0678,1
0.0682,1
0.0692,1
0.0694999999999996,1
0.0701,1
0.0701999999999998,1
0.0703999999999998,1
0.0705999999999997,1
0.0708000000000002,1
0.071,1
0.0711999999999997,1
0.0712999999999999,1
0.0713000000000003,2
0.0716000000000001,1
0.0719999999999996,1
0.072,1
0.0721,1
0.0721000000000007,1
0.0724,1
0.0726,1
0.0727000000000002,1
0.0730999999999997,1
0.0732,1
0.0732999999999997,1
0.0734999999999992,1
0.0734999999999996,1
0.0735000000000001,1
0.0739999999999998,1
0.0741000000000005,1
0.0742000000000002,1
0.0743,1
0.0745999999999993,1
0.0746000000000002,1
0.0757999999999999,1
0.0759000000000003,1
0.0761000000000002,2
0.0762,1
0.0764,2
0.0764999999999993,1
0.0768999999999993,1
0.0770999999999997,1
0.0774999999999999,1
0.0775000000000001,1
0.0776000000000003,1
0.0776999999999999,1
0.0777000000000001,2
0.0779,1
0.0780000000000002,1
0.0783,1
0.0785,1
0.0787000000000004,1
0.0796000000000001,1
0.0798999999999994,1
0.0799000000000003,1
0.0806,1
0.0807,1
0.0807000000000002,1
0.0808999999999999,1
0.0809000000000002,1
0.0810999999999999,1
0.0815000000000001,1
0.0817999999999994,1
0.0819999999999998,1
0.0822000000000002,1
0.0828999999999999,1
0.0830999999999999,1
0.0832,1
0.0836000000000001,1
0.0839999999999999,1
0.0841000000000002,1
0.0842,1
0.0850999999999997,1
0.0853000000000001,1
0.0862999999999996,1
0.0868999999999999,1
0.0869999999999997,1
0.0871000000000012,1
0.0872000000000001,1
0.0873000000000008,1
0.0874999999999994,1
0.0874999999999999,1
0.0875,1
0.0878000000000001,1
0.0878999999999998,1
0.088,1
0.0882000000000005,1
0.0884,1
0.0884999999999998,1
0.0886,1
0.0887000000000002,1
0.0887999999999999,1
0.0888999999999997,1
0.0890000000000004,1
0.0891000000000001,1
0.0891999999999999,2
0.0895000000000001,1
0.0897000000000005,1
0.0898999999999996,1
0.0899999999999998,3
0.0905,1
0.0907999999999999,1
0.0910999999999999,1
0.0912999999999999,1
0.0913000000000003,1
0.0914999999999999,2
0.0915000000000003,1
0.0916999999999998,1
0.0918999999999998,1
0.0920000000000005,1
0.0922999999999998,1
0.0923000000000007,1
0.0926,1
0.0927,1
0.0927000000000002,1
0.0929000000000002,1
0.0931999999999995,1
0.0937999999999998,1
0.0939999999999998,1
0.0942000000000007,1
0.0943999999999993,1
0.0945,1
0.095,1
0.0955999999999996,1
0.0960999999999998,1
0.0963999999999991,1
0.0968,1
0.0971000000000001,1
0.0971999999999999,1
0.0972999999999997,1
0.0974000000000001,1
0.0976000000000008,1
0.0977999999999998,1
0.0981999999999998,1
0.0982999999999999,1
